Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
INSW,"International Seaways, Inc.",19.43,566945774.41,,2016.0,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/insw,
INSW^A,"International Seaways, Inc.",23.4,0.0,,,,,https://www.nasdaq.com/symbol/insw^a,
IPG,"Interpublic Group of Companies, Inc. (The)",22.36,8581441991.2,,,Technology,Advertising,https://www.nasdaq.com/symbol/ipg,
IPL^D,Interstate Power and Light Company,25.05,0.0,,,,,https://www.nasdaq.com/symbol/ipl^d,
INXN,InterXion Holding N.V.,67.93,4864399370.0,,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/inxn,
IPI,"Intrepid Potash, Inc",3.52,461496288.0,,2008.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/ipi,
XON,Intrexon Corporation,14.35,1965833420.6,,2013.0,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/xon,
IVC,Invacare Corporation,15.4,511834631.0,,,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ivc,
VBF,Invesco Bond Fund,17.73,201715433.37,,,,,https://www.nasdaq.com/symbol/vbf,
VCV,Invesco California Value Municipal Income Trust,11.72,560981726.2,,,,,https://www.nasdaq.com/symbol/vcv,
VTA,Invesco Credit Opportunities Fund,11.5,852084266.0,,2007.0,,,https://www.nasdaq.com/symbol/vta,
IHIT,Invesco High Income 2023 Target Term Fund,9.93,238213024.11,,2016.0,,,https://www.nasdaq.com/symbol/ihit,
IHTA,Invesco High Income 2024 Target Term Fund,9.32,81802907.52,,2017.0,,,https://www.nasdaq.com/symbol/ihta,
VLT,Invesco High Income Trust II,13.64,110735371.56,,1989.0,,,https://www.nasdaq.com/symbol/vlt,
IVR,INVESCO MORTGAGE CAPITAL INC,16.1,1797455326.8,,2009.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ivr,
IVR^B,INVESCO MORTGAGE CAPITAL INC,25.4727,0.0,,,,,https://www.nasdaq.com/symbol/ivr^b,
IVR^C,INVESCO MORTGAGE CAPITAL INC,24.55,0.0,,,,,https://www.nasdaq.com/symbol/ivr^c,
IVR^A,Invesco Mortgage Capital Inc.,25.4092,0.0,,,,,https://www.nasdaq.com/symbol/ivr^a,
OIA,Invesco Municipal Income Opportunities Trust,7.67,517069422.09,,,,,https://www.nasdaq.com/symbol/oia,
VMO,Invesco Municipal Opportunity Trust,11.49,774592915.23,,,,,https://www.nasdaq.com/symbol/vmo,
VKQ,Invesco Municipal Trust,11.36,628437778.72,,,,,https://www.nasdaq.com/symbol/vkq,
VPV,Invesco Pennsylvania Value Municipal Income Trust,11.81,281426914.64,,,,,https://www.nasdaq.com/symbol/vpv,
IVZ,Invesco Plc,24.29,9979520606.86,,,Finance,Investment Managers,https://www.nasdaq.com/symbol/ivz,
IQI,Invesco Quality Municipal Income Trust,11.74,620855776.78,,,,,https://www.nasdaq.com/symbol/iqi,
VVR,Invesco Senior Income Trust,4.33,779556572.8,,1998.0,,,https://www.nasdaq.com/symbol/vvr,
VTN,Invesco Trust  for Investment Grade New York Municipal,12.51,243666690.03,,,,,https://www.nasdaq.com/symbol/vtn,
VGM,Invesco Trust for Investment Grade Municipals,11.73,636062722.08,,,,,https://www.nasdaq.com/symbol/vgm,
IIM,Invesco Value Municipal Income Trust,13.97,657379556.46,,,,,https://www.nasdaq.com/symbol/iim,
ITG,"Investment Technology Group, Inc.",21.71,716193708.36,,,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/itg,
