Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
FSP,Franklin Street Properties Corp.,7.88,844981501.4,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fsp,
FRD,Friedman Industries Inc.,9.09,63715845.96,,,Capital Goods,Steel/Iron Ore,https://www.nasdaq.com/symbol/frd,
FTNW,"FTE Networks, Inc.",9.8,73508026.2,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/ftnw,
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",4.71,638722318.14,,2005.0,,,https://www.nasdaq.com/symbol/ggn,
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",22.92,0.0,,,,,https://www.nasdaq.com/symbol/ggn^b,
JOB,GEE Group Inc.,2.53,27340336.21,,,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/job,
GMO,"General Moly, Inc",0.37,41132114.49,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gmo,
GSB,"GlobalSCAPE, Inc.",4.02,88018426.62,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/gsb,
GSAT,"Globalstar, Inc.",0.5192,656268800.0,,2006.0,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/gsat,
GLOW,"Glowpoint, Inc.",0.1759,8427017.2,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/glow,
GORO,Gold Resource Corporation,5.16,297174988.32,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/goro,
GSV,Gold Standard Ventures Corporation,1.71,444274549.38,,,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://www.nasdaq.com/symbol/gsv,
AUMN,Golden Minerals Company,0.2506,23937511.4776,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aumn,
GSS,"Golden Star Resources, Ltd",0.7569,288246105.6795,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gss,
GV,Goldfield Corporation (The),4.25,108168254.5,,,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/gv,
GDP,Goodrich Petroleum Corporation,13.77,163014575.22,,2017.0,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gdp,
GTE,Gran Tierra Energy Inc.,3.4,1326059561.2,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gte,
GPL,Great Panther Silver Limited,0.9226,155938596.5382,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/gpl,
SIM,"Grupo Simec, S.A. de C.V.",8.99,1491468608.29,,1993.0,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/sim,
GLF,"GulfMark Offshore, Inc.",32.61,245739340.05,,2017.0,Energy,Metal Fabrications,https://www.nasdaq.com/symbol/glf,
GLF.WS,"GulfMark Offshore, Inc.",,0.0,,,,,https://www.nasdaq.com/symbol/glf.ws,
HEB,"Hemispherx BioPharma, Inc.",0.2258,10668329.4722,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/heb,
HCAC,Hennessy Capital Acquisition Corp. III,10.23,79716241.77,,2017.0,Basic Industries,Environmental Services,https://www.nasdaq.com/symbol/hcac,
HCAC.U,Hennessy Capital Acquisition Corp. III,,0.0,,2017.0,,,https://www.nasdaq.com/symbol/hcac.u,
HCAC.WS,Hennessy Capital Acquisition Corp. III,,0.0,,,,,https://www.nasdaq.com/symbol/hcac.ws,
HLM^,Hillman Group Capital Trust,30.2,0.0,,,,,https://www.nasdaq.com/symbol/hlm^,
HMG,"HMG/Courtland Properties, Inc.",14.72,14915658.24,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/hmg,
HUSA,Houston American Energy Corporation,0.2269,13884543.7612,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/husa,
IBIO,"iBio, Inc.",0.9,15697644.3,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ibio,
IBO,IBO (Listing Market - NYSE Amex Network B F),24.84,0.0,,,,,https://www.nasdaq.com/symbol/ibo,
IEC,IEC Electronics Corp.,5.44,55974477.44,,,Technology,Electrical Products,https://www.nasdaq.com/symbol/iec,
IMUC,"ImmunoCellular Therapeutics, Ltd.",0.21,8806346.64,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/imuc,
IMUC.WS,"ImmunoCellular Therapeutics, Ltd.",,0.0,,,,,https://www.nasdaq.com/symbol/imuc.ws,
IMH,"Impac Mortgage Holdings, Inc.",6.62,139335039.18,,1997.0,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/imh,
